#name	infoboxid	title	issn	abbreviation	language	country	former_name	bluebook	discipline	peer-reviewed	publisher	history	openaccess	license	impact	impact-year	CODEN	JSTOR	LCCN	OCLC	ISSNlabel	eISSN	category
PLOS Biology	1	PLOS Biology	NULL	PLOS Biol.	NULL	NULL	NULL	NULL	Biology	NULL	Public Library of Science	2003–present	Yes	Creative Commons Attribution License	9.797	2016	NULL	NULL	NULL	NULL	NULL	1545-7885	NULL
Nature Photonics	1	Nature Photonics	NULL	Nat. Photonics	NULL	United Kingdom	NULL	NULL	Photonics	NULL	Nature Publishing Group	2007-present	NULL	NULL	37.852	2016	NULL	NULL	2007212985	78160603	NULL	1749-4893	NULL
Journal of Statistical Software	1	NULL	NULL	J STAT SOFTW	NULL	United States	NULL	NULL	Statistics	NULL	Foundation for Open Access Statistics	1996-present	Yes	Creative Commons Attribution License; GNU GPL (for code)	3.801	2015	NULL	NULL	NULL	42456366	NULL	NULL	NULL
Transportation Law Journal	1	Transportation Law Journal	NULL	Transp. Law J.	NULL	United States		Transp. L.J.	Transportation law	NULL	Sturm College of Law, University of Denver	1969-present							78026689	53126493	NULL		NULL
Developmental Biology (journal)	1	Developmental Biology	NULL	Dev. Biol.	NULL	NULL	NULL	NULL	Developmental biology	NULL	Elsevier	1959-present	Delayed, after 12 months	NULL	2.944	2016	DEBIAO	NULL	a61000440	01718504	NULL	1095-564X	NULL
Pediatrics (journal)	1	Pediatrics	NULL	Pediatrics	NULL	United States	NULL	NULL	Pediatrics	NULL	American Academy of Pediatrics	1948–present			5.473	2014					NULL	1098-4275	NULL
Mythlore	1	Mythlore	NULL	Mythlore	NULL	United States	NULL	NULL	Tolkien studies, fantasy, fanzine	NULL	Mythopoeic Society	1969-present		NULL	NULL	NULL	NULL	NULL	NULL	751166319	NULL	NULL	NULL
Beilstein Journal of Organic Chemistry	1	Beilstein Journal of Organic Chemistry	NULL	Beilstein J. Org. Chem.	NULL		NULL	NULL	Organic chemistry	NULL	Beilstein Institute for the Advancement of Chemical Sciences, until February 2008 in partnership with BioMed Central	2005–present	Yes	NULL	2.762	2014	BJOCBH	NULL	2005243875	61387227	NULL	NULL	NULL
Acimed	1	Acimed	NULL	Acimed	Spanish	Cuba	NULL	NULL	Medicine	NULL	Centro Nacional de Información de Ciencias Médicas	1993–present	Yes	NULL				NULL			NULL	1561-2880	NULL
Proceedings of the American Mathematical Society	1	Proceedings of the American Mathematical Society	NULL	Proc. Am. Math. Soc.	NULL	United States of America	NULL	NULL	Mathematics		American Mathematical Society	1950-present	NULL	NULL	0.840	2013	PAMYAR	NULL	51003937	1480367	NULL	1088-6826	NULL
Journal of Virology	1	Journal of Virology	NULL	J. Virol.	NULL	United States	NULL	NULL	Virology	NULL	American Society for Microbiology	1967–present	Delayed, after 4 months		4.606	2015	JOVIAM		68007255	422052558	NULL	1098-5514	NULL
Policy Review	1	Policy Review	NULL		English	United States	NULL	NULL	Politics		Hoover Institution	1977–2013									NULL		NULL
British Journal of Social Psychology	1	British Journal of Social Psychology	NULL	Br. J. Soc. Psychol.	NULL	United Kingdom	NULL	NULL	Social psychology	NULL	Wiley-Blackwell on behalf of the British Psychological Society	1962-present	NULL	NULL	2.056	2010	BJSPDA	NULL	81642357	475047529	NULL	2044-8309	NULL
The Philosophical Review	1	The Philosophical Review	NULL	Phil. Review	English	U.S.	NULL	NULL	Philosophy	NULL	Duke University Press	1892–present		NULL				00318108	sn98-23300	39648313	NULL	1558-1470	NULL
Salmagundi (magazine)	1	NULL	NULL		English	United States	NULL	NULL	Literary journal		Skidmore College	1965-present						00363529			NULL		NULL
Journal of Indo-European Studies	1	Journal of Indo-European Studies	NULL	JIES	English		NULL	NULL	Indo-European studies			1973-present							73642748	489056118	NULL		NULL
American Quarterly	1	American Quarterly	NULL	Am. Q.	NULL	United States	NULL	NULL	American studies	NULL	Johns Hopkins University Press	1949–present		NULL				00030678		1480637	NULL	1080-6490	NULL
The Future of Children	1	The Future of Children	NULL		English	United States		NULL	Social Science		Woodrow Wilson School of Public and International Affairs at Princeton University and The Brookings Institution	1991 to present											NULL
MIT Sloan Management Review	1	MIT Sloan Management Review	NULL		English	USA	NULL	NULL	Management	NULL	Massachusetts Institute of Technology	1959 to present		NULL							NULL		NULL
Genetics (journal)	1	Genetics	NULL	Genetics	English	United States	NULL	NULL	Genetics		Genetics Society of America	1916–present	After 12 months		5.963	2014					NULL	1943-2631	NULL
Canadian Journal of Nursing Research	1	NULL	NULL			Canada	NULL	NULL	Nursing	NULL	SAGE Publishing (formerly McGill University School of Nursing)	1968-present									NULL		NULL
JAMA (journal)	1	JAMA	NULL	J. Am. Med. Assoc.	NULL	United States	NULL	NULL	Medicine	NULL	American Medical Association	1883–present			44.405	2016	JAMAAP		82643544	1124917	NULL	1538-3598	NULL
Chemistry Education Research and Practice	1	Chemistry Education Research and Practice	NULL	Chem. Educ. Res. Pract.	NULL	United Kingdom	NULL	NULL	Chemistry education	NULL	Royal Society of Chemistry	2000-present	Yes	NULL	1.802	2015	CERPCE	NULL	NULL	613094024	NULL	1109-4028	NULL
Minnesota Law Review	1	Minnesota Law Review	NULL	Minn. Law Rev.	NULL	United States	NULL	NULL	Law review	NULL	University of Minnesota Law School	1917-present	NULL	NULL	NULL	NULL	NULL	NULL	18014798	1758198	NULL	NULL	NULL
Proceedings of the Royal Society	1	Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences	NULL	Proc. Royal Soc. A	NULL	United Kingdom	NULL	NULL	Natural sciences	NULL	Royal Society	1800-present	Hybrid	NULL	2.192	2014	NULL	NULL	96660116	610206090	NULL	1471-2946	NULL
Proceedings of the Royal Society	2	Proceedings of the Royal Society B: Biological Sciences	NULL	Proc. Royal Soc. B	NULL	United Kingdom	NULL	NULL	Biology	NULL	Royal Society	1800-present	Hybrid	NULL	4.823	2015	NULL	NULL	92656221	1764614	NULL	1471-2954	NULL
The Journal of American History	1	The Journal of American History	NULL	J. Am. Hist.	NULL	United States	NULL	NULL	American history	NULL	Oxford University Press on behalf of the Organization of American Historians	1914–present	NULL	NULL	0.684	2009	NULL	00218723	41015235	1754428	NULL	1936-0967	NULL
Scottish Affairs	1	Scottish Affairs	NULL	Scott. Aff.	NULL	United Kingdom	NULL	NULL	Scottish politics	NULL	Edinburgh University Press	1992–present	NULL	NULL			NULL	NULL	94640271	27420904	NULL	2053-888X	NULL
American Journal of Mathematics	1	American Journal of Mathematics	NULL	Am. J. Math.	NULL	United States	NULL	NULL	Mathematics	NULL	Johns Hopkins University Press	1878–present		NULL	1.337	2009	NULL	00029327		1480153	NULL	1080-6377	NULL
Journal of Near-Death Studies	1	Journal of Near-Death Studies	NULL	J. Near Death Stud.	NULL		NULL	NULL	Near-death studies	NULL	International Association for Near-Death Studies	1982-present	NULL	NULL	NULL	NULL	JNDAE7	NULL	88648131	45254332	NULL	1573-3661	NULL
Chemical Reviews	1	Chemical Reviews	NULL	Chem. Rev.	NULL	United States	NULL	NULL	Chemistry	NULL	American Chemical Society	1924-present	NULL	NULL	47.928	2016	CHREAY	NULL	25015032	473768321	NULL	1520-6890	NULL
Journal of Experimental Psychology	1	Journal of Experimental Psychology	NULL	J. Exp. Psychol.	NULL	United States	NULL	NULL	Experimental psychology	NULL	American Psychological Association	1916–1975									NULL		NULL
Emergency Medicine Journal	1	Emergency Medicine Journal	NULL	Emerg. Med. J.	NULL	United Kingdom	NULL	NULL	Emergency medicine	NULL	BMJ Group on behalf of the Royal College of Emergency Medicine	1983-present		NULL	1.776	2013	NULL	NULL	NULL	801060983	NULL	1472-0213	NULL
Quarterly Journal of Economics	1	Quarterly Journal of Economics	NULL	Q. J. Econ.	NULL		NULL	NULL	Economics	NULL	Oxford University Press for Harvard University Department of Economics	1886–present		NULL	5.920	2011		00335533		1763227	NULL	1531-4650	NULL
Journal of Clinical Investigation	1	Journal of Clinical Investigation	NULL	J. Clin. Invest.	NULL	United States	NULL	NULL	Biomedicine	NULL	American Society for Clinical Investigation	1924-present	Yes		12.784	2016	JCINAO		27010044	01445593	NULL	1558-8238	NULL
BJU International	1	BJU International	NULL	BJU Int.	NULL		NULL	NULL	Urology	NULL	Wiley-Blackwell	1929-present		NULL	4.387	2015	NULL	NULL	NULL	610415745	NULL	1464-410X	NULL
Epilepsy Currents	1	Epilepsy Currents	NULL	Epilepsy Curr.	NULL	United States	NULL	NULL	Epilepsy	NULL	American Epilepsy Society and Allen Press	2001-present	Yes		2.333	2012			2001215107	47195748	NULL	1535-7511	NULL
Administration & Society	1	Administration & Society	NULL	Adm. Soc.	NULL		NULL	NULL	Public administration	NULL	SAGE Publications	1969-present			1.263	2013			74647790	1796118	NULL	1552-3039	NULL
AIDS (journal)	1	AIDS	NULL		NULL	United Kingdom	NULL	NULL	HIV, AIDS	NULL	Lippincott Williams & Wilkins	1987–present	After 12 months	NULL	5.554	2014	AIDSET	NULL	90640840	16016361	NULL	1473-5571	NULL
Bulletin of the American Meteorological Society	1	NULL	NULL	Bull. Am. Meteorol. Soc.	NULL	U.S.A	NULL	NULL	Meteorology	NULL	American Meteorological Society	1920–present	All peer reviewed articles	NULL	7.929	2015	NULL	NULL	NULL	NULL	NULL	1520-0477	NULL
Harvard Law Review	1	Harvard Law Review	NULL	Harv. Law Rev.	NULL	United States	NULL	Harv. L. Rev.	Law	NULL	The Harvard Law Review Association	1887–present			4.979	2015	HALRAF		12032979	46968396	NULL		NULL
American Family Physician	1	American Family Physician	NULL	Am. Fam. Physician	NULL	United States	NULL	NULL	Family medicine	NULL	American Academy of Family Physicians	1969–present	After 12 months		1.547	2010			85650524	01777828	NULL	1532-0650	NULL
Parameters (journal)	1	Parameters	NULL		NULL	United States	NULL	NULL	Military affairs	NULL	US Army War College	1971–present	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Yale Economic Review	1	NULL	NULL	YER	NULL	USA	NULL	NULL	Economics	NULL	Yale Economic Review, Inc.	2005 to present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Nature Reviews Microbiology	1	NULL	NULL	Nat. Rev. Microbiol.	NULL		NULL	NULL	Microbiology	NULL	Nature Publishing Group	2003-present		NULL	26.819	2016	NULL	NULL	NULL	NULL	NULL	1740-1534	NULL
History and Technology	1	History and Technology	NULL	Hist. Technol.	NULL		NULL	NULL	History of technology	NULL	Routledge								88656216	185681834	NULL	1477-2620	NULL
PAJ (journal)	1	PAJ: A Journal of Performance and Art	NULL	PAJ	NULL	United States	NULL	NULL	Performing arts	NULL	MIT Press	1976-present		NULL				1520281X	98658205	39511092	NULL	1537-9477	NULL
Bulletin of the Chemical Society of Japan	1	NULL	NULL	Bull. Chem. Soc. Jpn.	NULL	Japan	NULL	NULL	Chemistry	NULL	Chemical Society of Japan	1926–present	NULL	NULL	2.21	2014	BCSJA8	NULL	NULL	NULL	NULL	NULL	NULL
The American Economic Review	1	The American Economic Review	NULL	Am. Econ. Rev.	NULL	United States	NULL	NULL	Economics	NULL	American Economic Association	1911–present		NULL				00028282	11007619	847300958	NULL		NULL
Quarterly Journal of Austrian Economics	1	The Quarterly Journal of Austrian Economics	NULL	Q. J. Austrian Econ.	NULL	United States	NULL	NULL	Economics	NULL	Ludwig von Mises Institute	1987–present							99100420	53929018	NULL	1098-3708	NULL
Fiction International	1	NULL	NULL		English	United States	NULL	NULL	Literary journal		San Diego State University	1973-present									NULL		NULL
Journal of Research in Music Education	1	Journal of Research in Music Education	NULL		English	United States	NULL	NULL	Music education		SAGE Publications	1953-presently						00224294	54043754	473055145	NULL	1945-0095	NULL
Journal of Chemical Physics	1	NULL	NULL	J. Chem. Phys.	NULL	United States	NULL	NULL	Chemical physics	NULL	American Institute of Physics	1933–present	NULL	NULL	2.965	2016	JCPSA6	NULL	NULL	NULL	NULL	1089-7690	NULL
Isis (journal)	1	Isis	NULL	Isis	NULL	United States	NULL	NULL	History of science	NULL	University of Chicago Press	1913–present			0.894	2015	ISISA4	00211753	14020981	1638942	NULL	1545-6994	NULL
The Quarterly Review of Biology	1	NULL	NULL	Q. Rev. Biol.	NULL	United States	NULL	NULL	Biology	NULL	University of Chicago Press	1926-present	Hybrid	NULL	5.000	2015	NULL	00335770	NULL	223702870	NULL	NULL	NULL
Journal of Cryptology	1	Journal of Cryptology	NULL		NULL	United States	NULL	NULL	Cryptography	NULL	Springer Publishing	1988–present	No	NULL	1.021	2015		NULL			NULL	1432-1378	NULL
Nucleic Acids Research	1	Nucleic Acids Research	NULL	Nucleic Acids Res.			NULL	NULL	Nucleic acids		Oxford University Press	1974-present	Yes		10.162	2016	NARHAD		74641038	01791693	NULL	1362-4962	NULL
Econometrica	1	Econometrica	NULL	Econometrica	NULL		NULL	NULL	Economics	NULL	Wiley-Blackwell on behalf of the Econometric Society	1933–present			3.279	2017	ECMTA7	00129682	34016980	01567366	NULL	1468-0262	NULL
The Alaska Quarterly Review	1	The Alaska Quarterly Review	NULL		English	United States	NULL	NULL	literary journal		University of Alaska Anchorage	1980-present									NULL		NULL
American Journal of Physics	1	NULL	NULL	Am. J. Phys.	NULL	United States of America	NULL	NULL	Physics		American Association of Physics Teachers with American Institute of Physics	1933–present			0.956	2014	AJPIAS		2007233687	1480178	NULL	1943-2909	NULL
Social Theory and Practice	1	Social Theory and Practice	NULL	Soc. Theory Pract.	NULL	United States	NULL	NULL	Philosophy	NULL	Dept. of Philosophy, Florida State University	1970–present							70-617090	830969	NULL	2154-123X	NULL
Dalton Transactions	1	Dalton Transactions	NULL	Dalton Trans.	NULL	United Kingdom	NULL	NULL	Chemistry	NULL	Royal Society of Chemistry	Journal of the Chemical Society A: Inorganic, Physical, Theoretical (1966–1971)Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1972–2003)Dalton Transactions (2003–present)	Hybrid	NULL	4.029	2016	DTARAF	NULL	2003242012	51500500	NULL	1477-9234	NULL
Reviews of Modern Physics	1	Reviews of Modern Physics	NULL	Rev. Mod. Phys.	NULL	United States	NULL	NULL	Physics	NULL	American Physical Society	1929-present	NULL	NULL	33.177	2015	RMPHAT	NULL	31021290	5975699	NULL	1539-0756	NULL
Journal of the Chemical Society, Faraday Transactions	1	Journal of the Chemical Society, Faraday Transactions	NULL	J. Chem. Soc. Faraday Trans.	NULL	United Kingdom	NULL	NULL	Chemistry	NULL	Royal Society of Chemistry	1905–1998	NULL		1.757	1998	JCFTEV		90659044	20905692	NULL		NULL
Critique: Journal of Socialist Theory	1	Critique: Journal of Socialist Theory	NULL		NULL		NULL	NULL	Political science	NULL	Routledge on behalf of the Centre for the Study of Socialist Theory and Movements (University of Glasgow)	1973-present								70889137	NULL	1748-8605	NULL
Institute of Historical Research	1	Historical Research	NULL		English	UK	NULL	NULL	History		Institute of Historical Research										NULL		NULL
Journal of the American Research Center in Egypt	1	NULL	NULL	JARCE	English, French, German		NULL	NULL	Egyptian history		American Research Center in Egypt	1962-present									NULL		NULL
Journal of Strategic Studies	1	Journal of Strategic Studies	NULL	J. Strateg. Stud.	NULL		NULL	NULL	Strategic studies	NULL	Routledge	1978-present			0.895	2015	2009236514			12639747	NULL	1743-937X	NULL
The New England Journal of Medicine	1	The New England Journal of Medicine	NULL	N. Engl. J. Med.	NULL	United States	NULL	NULL	Medicine	NULL	Massachusetts Medical Society	1812–present	Delayed (6 months)		72.406	2016	NEJMAG		20020456	231027780	NULL	1533-4406	NULL
Political Science Quarterly	1	Political Science Quarterly	NULL	Political Sci. Q.	NULL	United States	NULL	NULL	Political science	NULL	Academy of Political Science	1886–present	NULL	NULL	0.366	2015	NULL	00323195	07036315	785797935	NULL	1538-165X	NULL
Carnivorous Plant Newsletter	1	NULL	NULL	Carniv. Pl. Newslett.	NULL	United States	NULL	NULL	Botany	NULL	International Carnivorous Plant Society	1972–present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4011202	NULL	NULL	NULL
Journal of the Atmospheric Sciences	1	NULL	NULL	J. Atmos. Sci.	NULL	United States	NULL	NULL	Atmospheric sciences	NULL	American Meteorological Society	1944-present	after 1 year	NULL	3.578	2015	NULL	NULL	NULL	NULL	NULL	1520-0469	NULL
Electronic Notes in Theoretical Computer Science	1	Electronic Notes in Theoretical Computer Science	NULL	NULL	NULL	Netherlands	NULL	NULL	computer science	NULL	Elsevier	1995-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Angewandte Chemie	1	NULL	NULL	Angew. Chem.	German, English	Germany	NULL	NULL	Chemistry	NULL	Wiley-VCH	1887–present (in German), 1962–present (in English)	NULL	NULL	11.994	2016	ACIEF5 (International), ANCEAD (German)	NULL	NULL	NULL	NULL	1521-3773	NULL
Zoological Journal of the Linnean Society	1	Zoological Journal of the Linnean Society	NULL	Zool. J. Linn. Soc.	NULL		NULL	NULL	Zoology	NULL	Oxford University Press on behalf of The Linnean Society of London	1856—present			2.316	2015	ZJLSA7		75645095	36953454	NULL	1096-3642	NULL
Evolution and Human Behavior	1	Evolution and Human Behavior	NULL	NULL	NULL		Ethology and Sociobiology	NULL	Evolutionary psychology	NULL	Elsevier	1980-present	NULL	NULL	3.130	2014	EHIBEF	NULL	97648255	35307676	NULL	NULL	NULL
Oxford German Studies	1	Oxford German Studies	NULL	Oxf. Ger. Stud.	English, German		NULL	NULL	German studies	NULL	Routledge	1965-present							82641755	1640444	NULL	1745-9214	NULL
Environment and Planning	1	Environment and Planning A-D	NULL	Environ. Plan.	NULL		NULL	NULL	Human geography, urban studies	NULL	Sage Publications (Pion until 2015)	1969-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Film Quarterly	1	Film Quarterly	NULL		NULL	United States	NULL	NULL		NULL	University of California Press	1945–present	NULL	NULL			NULL	00151386	a45005270	1569205	NULL		NULL
Public Opinion Quarterly	1	Public Opinion Quarterly	NULL	Public Opin. Q.	NULL	NULL	NULL	NULL	Communication studies, political science	NULL	Oxford University Press	1937-present	NULL	NULL	1.429	2015	POPQAE	NULL	38005920	45001845	NULL	1537-5331	NULL
University of Pennsylvania Law Review	1	University of Pennsylvania Law Review	NULL	Univ. Pa. Law Rev.	NULL	United States	NULL	U. Pa. L. Rev.	Law review	NULL	University of Pennsylvania Law School	1852-present		NULL	2.630	2016	NULL	NULL	75649838	02359920	NULL	1942-8537	NULL
Zoological Science	1	Zoological Science	NULL	Zool. Sci.	NULL	Japan	NULL	NULL	Zoology		Zoological Society of Japan	1984-present	NULL	NULL	0.821	2009	ZOSCEX	NULL		51963016	NULL		NULL
Language Teaching (journal)	1	Language Teaching	NULL		NULL	United Kingdom	NULL	NULL	Language and Linguistics	NULL	Cambridge University Press	1968 - present		NULL	NULL	NULL	NULL				NULL	1475-3049	NULL
Harvard Journal of Law & Technology	1	Harvard Journal of Law & Technology	NULL	Harv. J. Law Technol.	NULL	United States	NULL	NULL	Technology law	NULL	Harvard Law School	1988-present	Yes		NULL	NULL			89657056	803792826	NULL		NULL
Zygon (journal)	1	Zygon	NULL	Zygon	NULL		NULL	NULL	Religious studies	NULL	Wiley-Blackwell	1966-present	NULL	NULL	0.274	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Historical Studies in the Natural Sciences	1	Historical Studies in the Natural Sciences	NULL		NULL	United States	NULL	NULL	History of science	NULL	University of California Press	1969-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1939-182X	NULL
Applied Physics Letters	1	Applied Physics Letters	NULL	Appl. Phys. Lett.	NULL	United States	NULL	NULL	Applied physics	NULL	American Institute of Physics	1962–present	Hybrid		3.411	2016	APPLAB			1580952	NULL	1077-3118	NULL
Radical Teacher	1	NULL	NULL	Radic. Teach.	NULL			NULL	Pedagogy	NULL	University Library System, University of Pittsburgh, on behalf of Center for Critical Education, Inc.	1975–present	Yes	Creative Commons Attribution-NonCommercial-NoDerivatives				01914847	79642767	50255711		1941-0832	NULL
Journal of Film and Video	1	Journal of Film and Video	NULL		NULL		NULL	NULL	Film studies, Television studies		University of Illinois Press										NULL	1934-6018	NULL
Historische Zeitschrift	1	Historische Zeitschrift	NULL		German	Germany	NULL	NULL	History	NULL	Oldenbourg Wissenschaftsverlag										NULL		NULL
The Astrophysical Journal	1	The Astrophysical Journal	NULL	Astrophys. J.	NULL		NULL	NULL	Astronomy, Astrophysics	NULL	IOP Publishing for the American Astronomical Society	1895–present	Hybrid and delayed		5.533 (Journal)  5.522 (Letters) 8.955 (Supplement)	2016					NULL	1538-4357	NULL
International Journal of Medical Sciences	1	International Journal of Medical Sciences	NULL	Int. J. Med. Sci.	NULL		NULL	NULL	Medicine	NULL	Ivyspring International Publisher	2004-present	Yes	NULL	2.399	2017	IJMSGZ	NULL	NULL	54900446	NULL	NULL	NULL
Circulation (journal)	1	Circulation	NULL		English	United States	NULL	NULL	Cardiology, cardiovascular medicine	NULL	Lippincott Williams & Wilkins	1950–present	No		14.43	2014				1554748	NULL	1524-4539	NULL
Chemistry Development Kit	1	CDK News	NULL	NULL	English	NULL	NULL	NULL	NULL	NULL	NULL	2004-2007	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
European Psychologist	1	European Psychologist	NULL	Eur Psychol	NULL		NULL	NULL	Multidisciplinary psychology	NULL	Hogrefe Publishing		NULL	NULL		2012	NULL	NULL	NULL	60626459	NULL	1878-531X	NULL
Nature Reviews Molecular Cell Biology	1	Nature Reviews Molecular Cell Biology	NULL	Nat. Rev. Mol. Cell Biol.	NULL		NULL	NULL	Molecular biology, cell biology	NULL	Nature Publishing Group	2000–present	NULL	NULL	46.602	2016	NRMCBP	NULL	2001229974	807916556	NULL	1471-0080	NULL
Code of Federal Regulations	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Rapid Communications in Mass Spectrometry	1	Rapid Communications in Mass Spectrometry	NULL	Rapid Commun. Mass Spectrom.	NULL		NULL	NULL	Mass Spectrometry	NULL	John Wiley & Sons	1987-present	NULL	NULL	2.226	2015	RCMSEF	NULL	88645064	643958996	NULL	1097-0231	NULL
Current History	1	Current History	NULL	Curr. Hist.	English	United States	NULL	NULL	World affairs	NULL	Daniel Mark Redmond	1914–present	NULL	NULL	0.127	2014	NULL			875826836	NULL		NULL
Journal of Physical Chemistry A	1	NULL	NULL	J. Phys. Chem. A	English	United States	NULL	NULL	Physical chemistry	NULL	American Chemical Society	1896 to present	NULL	NULL	2.847	2016	jpcafh	NULL	NULL	NULL	NULL	1520-5215	NULL
Weather and Forecasting	1	NULL	NULL	Weather Forecast.	NULL	U.S.A	NULL	NULL	Meteorology	NULL	American Meteorological Society	1986 to present	after 5 years	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1520-0434	NULL
